exchange,market_types,spot_project,contract_project,official_gap_check,public_ws_support,private_ws_support,public_ws_channels,private_ws_channels,orderbook_channels,ws_push_interval_evidence,ws_depth_evidence,ws_fastest_interval_ms,ws_l1_bbo_evidence,ws_latency_tier,ws_gap,mapping,doc,get_symbol_rules,get_order_book,get_balances,get_positions,get_fees,place_order,place_quote_market_order,cancel_order,amend_order,place_order_list,batch_place_orders,batch_cancel_orders,cancel_all_orders,query_order,get_open_orders,get_recent_fills
mango_markets,"margin,perpetual",项目未实现,声明,项目未实现 spot_product,unsupported,unsupported,"accountSubscribe,public_account_subscribe","accountSubscribe,private_user_events,public_account_subscribe",,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/mango_markets/endpoint_mapping.yaml,docs/交易所网关/适配器/mango_markets_adapter.md,离线,不支持,离线,离线,离线,离线,-,离线,-,-,不支持,不支持,不支持,离线,离线,离线
mercado,spot,声明,不支持,,spec_only,unsupported,"orderbook,ticker,trades",,orderbook,,1000,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/mercado/endpoint_mapping.yaml,docs/交易所网关/适配器/mercado_adapter.md,离线,离线,离线,-,离线,离线,-,离线,-,-,-,-,-,运行,运行,运行
mexc,"perpetual,spot",声明,声明,项目未实现 delivery_contract_product,native,unsupported,"contract_depth10,contract_depth20,contract_depth5,public_orderbook_bbo,public_orderbook_delta,public_orderbook_snapshot,spot@public.aggre.bookTicker.v3.api.pb@10ms@{symbol},spot@public.aggre.depth.v3.api.pb@10ms@{symbol},spot@public.limit.depth.v3.api.pb@{symbol}@10,spot@public.limit.depth.v3.api.pb@{symbol}@20,spot@public.limit.depth.v3.api.pb@{symbol}@5","public_orderbook_bbo,public_orderbook_delta,public_orderbook_snapshot,spot@public.aggre.bookTicker.v3.api.pb@10ms@{symbol},spot@public.aggre.depth.v3.api.pb@10ms@{symbol},spot@public.limit.depth.v3.api.pb@{symbol}@20","contract_depth10,contract_depth20,contract_depth5,public_orderbook_bbo,public_orderbook_delta,public_orderbook_snapshot,spot@public.aggre.bookTicker.v3.api.pb@10ms@{symbol},spot@public.aggre.depth.v3.api.pb@10ms@{symbol},spot@public.limit.depth.v3.api.pb@{symbol}@10,spot@public.limit.depth.v3.api.pb@{symbol}@20,spot@public.limit.depth.v3.api.pb@{symbol}@5",10ms,"1,5,10,20",10,是,极速L1候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/mexc/endpoint_mapping.yaml,docs/交易所网关/适配器/mexc_adapter.md,运行,运行,运行,运行,运行,运行,运行,运行,-,-,-,-,运行,运行,运行,运行
modetrade,perpetual,不支持,声明,,spec_only,unsupported,"public_orderbook_delta,{symbol}@orderbookupdate","executionreport/account,private_user_events,public_orderbook_delta,{symbol}@orderbookupdate","public_orderbook_delta,{symbol}@orderbookupdate",200ms,,200,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/modetrade/endpoint_mapping.yaml,docs/交易所网关/适配器/modetrade_adapter.md,运行,离线,离线,离线,离线,离线,-,离线,离线,不支持,离线,不支持,不支持,运行,运行,运行
myokx,spot,声明,项目未实现,"项目未实现 contract_product,event_contract_product,margin_product,market_type_futures,market_type_options,market_type_perpetual",spec_only,spec_only,"1,10,100,400,5,50,bbo-tbt,bbo-tbt.depth1.10ms.sequence_checksum.resync_REST,bbo_tbt,books,books-l2-tbt,books-l2-tbt.depth400.10ms.login_or_vip,books.depth400.100ms.sequence_checksum.resync_REST,books5,books5.depth5.100ms.sequence_checksum.resync_REST,books50-l2-tbt,books50-l2-tbt.depth50.10ms.login_or_vip,books50_l2_tbt,books_l2_tbt,candle1m,depth_per_side,login_or_vip_required,public_no_login,tickers,trades",,"bbo-tbt,bbo-tbt.depth1.10ms.sequence_checksum.resync_REST,bbo_tbt,books,books-l2-tbt,books-l2-tbt.depth400.10ms.login_or_vip,books.depth400.100ms.sequence_checksum.resync_REST,books5,books5.depth5.100ms.sequence_checksum.resync_REST,books50-l2-tbt,books50-l2-tbt.depth50.10ms.login_or_vip,books50_l2_tbt,books_l2_tbt,depth_per_side","10ms,100ms","1,2,5,50,400",10,是,极速L1候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/myokx/endpoint_mapping.yaml,docs/交易所网关/适配器/myokx_adapter.md,映射,映射,原生,不支持,原生,原生,原生,原生,不支持,-,-,-,原生,原生,原生,原生
ndax,spot,声明,不支持,项目未实现 margin_product,spec_only,spec_only,"GetL2Snapshot.depth_parameter_Depth.snapshot_rebuild,SubscribeLevel1,SubscribeLevel1.depth1.bbo.no_fixed_ms.no_sequence.no_checksum.resync_GetL2Snapshot,SubscribeLevel2,SubscribeLevel2.depth_parameter_Depth.no_fixed_ms.no_sequence.no_checksum.resync_GetL2Snapshot,SubscribeTicker,SubscribeTrades",,"GetL2Snapshot.depth_parameter_Depth.snapshot_rebuild,SubscribeLevel1.depth1.bbo.no_fixed_ms.no_sequence.no_checksum.resync_GetL2Snapshot,SubscribeLevel2.depth_parameter_Depth.no_fixed_ms.no_sequence.no_checksum.resync_GetL2Snapshot",,"1,2",,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/ndax/endpoint_mapping.yaml,docs/交易所网关/适配器/ndax_adapter.md,原生,原生,离线,-,不支持,离线,-,离线,-,-,-,-,-,运行,运行,运行
novadax,spot,声明,不支持,,spec_only,unsupported,"MARKET.{symbol}.DEPTH.LEVEL0,MARKET.{symbol}.DEPTH.LEVEL0.1s.no_sequence.no_checksum.resync_resubscribe_full_replace,MARKET.{symbol}.TICKER,MARKET.{symbol}.TRADE",,"MARKET.{symbol}.DEPTH.LEVEL0,MARKET.{symbol}.DEPTH.LEVEL0.1s.no_sequence.no_checksum.resync_resubscribe_full_replace","1s,1000ms",0,1000,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/novadax/endpoint_mapping.yaml,docs/交易所网关/适配器/novadax_adapter.md,原生,原生,离线,-,离线,运行,-,运行,-,-,运行,运行,离线,运行,运行,运行
okx,"futures,option,perpetual,spot",声明,声明,,rest_fallback,unsupported,"1,10,100,400,5,50,OKX TBT depth channels require VIP or special access and are not enabled in this gateway runtime.,bbo-tbt,bbo_tbt,books,books-l2-tbt/books50-l2-tbt,books5,checksum field not present in shared parser fixture,depth,futures,none,not_enabled,options,perpetual,public_orderbook_futures,public_orderbook_options,public_orderbook_spot,public_orderbook_swap,seqId,spot,subscribe_public_stream,tbt_depth_restricted","public_orderbook_futures,public_orderbook_options,public_orderbook_spot,public_orderbook_swap,subscribe_public_stream","OKX TBT depth channels require VIP or special access and are not enabled in this gateway runtime.,bbo-tbt,bbo_tbt,books,books-l2-tbt/books50-l2-tbt,books5,depth,public_orderbook_futures,public_orderbook_options,public_orderbook_spot,public_orderbook_swap,tbt_depth_restricted","10ms,100ms","1,2,5,50,400",10,是,极速L1候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/okx/endpoint_mapping.yaml,docs/交易所网关/适配器/okx_adapter.md,映射,映射,原生,原生,原生,原生,映射,原生,映射,-,映射,映射,原生,原生,原生,原生
okxus,spot,声明,项目未实现,"项目未实现 contract_product,event_contract_product,futures_product,margin_product,market_type_non_spot,perpetual_product",spec_only,unsupported,"1,10,100,400,5,50,bbo-tbt,bbo-tbt.depth1.10ms.sequence_checksum.resync_REST,bbo_tbt,books,books-l2-tbt,books-l2-tbt.depth400.10ms.login_or_vip,books.depth400.100ms.sequence_checksum.resync_REST,books5,books5.depth5.100ms.sequence_checksum.resync_REST,books50-l2-tbt,books50-l2-tbt.depth50.10ms.login_or_vip,books50_l2_tbt,books_l2_tbt,candle1m,depth_per_side,login_or_vip_required,public_no_login,tickers,trades",,"bbo-tbt,bbo-tbt.depth1.10ms.sequence_checksum.resync_REST,bbo_tbt,books,books-l2-tbt,books-l2-tbt.depth400.10ms.login_or_vip,books.depth400.100ms.sequence_checksum.resync_REST,books5,books5.depth5.100ms.sequence_checksum.resync_REST,books50-l2-tbt,books50-l2-tbt.depth50.10ms.login_or_vip,books50_l2_tbt,books_l2_tbt,depth_per_side","10ms,100ms","1,2,5,50,400",10,是,极速L1候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/okxus/endpoint_mapping.yaml,docs/交易所网关/适配器/okxus_adapter.md,映射,映射,原生,不支持,原生,原生,原生,原生,不支持,-,-,-,原生,原生,原生,原生
onetrading,spot,声明,项目未实现,"项目未实现 contract_product,futures_product",spec_only,unsupported,"BOOK_TICKER,BOOK_TICKER.depth1.bbo.no_fixed_ms.no_sequence.no_checksum,ORDER_BOOK,ORDER_BOOK.no_fixed_ms.no_sequence.no_checksum.resync_ORDER_BOOK_SNAPSHOT",,"BOOK_TICKER,BOOK_TICKER.depth1.bbo.no_fixed_ms.no_sequence.no_checksum,ORDER_BOOK,ORDER_BOOK.no_fixed_ms.no_sequence.no_checksum.resync_ORDER_BOOK_SNAPSHOT",,1,,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/onetrading/endpoint_mapping.yaml,docs/交易所网关/适配器/onetrading_adapter.md,运行,运行,离线,-,离线,离线,-,离线,-,-,-,-,离线,运行,运行,运行
orangex,"perpetual,spot",声明,声明,,spec_only,spec_only,"100,book.{instrument}.100ms,book.{instrument}.raw,change_id,depth,depth: unspecified; no fixed depth / legacy 100ms evidence retained but no verified depth parameter,depth: unspecified; no fixed depth / no verified depth parameter,event_driven,linear_perp,next prev_change_id must match local change_id,none,order book delta stream; side/price/amount changes are applied to a REST-initialized local book,orderbook_100ms,orderbook_raw,prev_change_id,reconnect_resubscribe_and_fetch_rest_order_book_snapshot,spot,ticker.{instrument}.raw,trades.{instrument}.raw",,"book.{instrument}.100ms,book.{instrument}.raw,depth,depth: unspecified; no fixed depth / legacy 100ms evidence retained but no verified depth parameter,depth: unspecified; no fixed depth / no verified depth parameter,order book delta stream; side/price/amount changes are applied to a REST-initialized local book,orderbook_100ms,orderbook_raw,reconnect_resubscribe_and_fetch_rest_order_book_snapshot",100ms,,100,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/orangex/endpoint_mapping.yaml,docs/交易所网关/适配器/orangex_adapter.md,映射,映射,原生,原生,原生,原生,映射,原生,-,-,映射,映射,原生,原生,原生,原生
oxfun,"option,perpetual",不支持,声明,,spec_only,spec_only,"candles,depthUpdate,depthUpdate:<marketCode>,depthUpdate:<marketCode> 100ms,login,market,market:all,text:ping,ticker,trade,ws_depth_update,ws_heartbeat,ws_login,ws_market_snapshot","depthUpdate:<marketCode> 100ms,login,market:all,text:ping,ws_depth_update,ws_heartbeat,ws_login,ws_market_snapshot","depthUpdate,depthUpdate:<marketCode>,depthUpdate:<marketCode> 100ms,ws_depth_update",100ms,,100,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/oxfun/endpoint_mapping.yaml,docs/交易所网关/适配器/oxfun_adapter.md,离线,离线,离线,离线,不支持,离线,-,离线,不支持,不支持,离线,不支持,-,-,-,-
p2b,spot,声明,不支持,,native,unsupported,depth.subscribe,,depth.subscribe,,"1,100",,是,缺推流间隔证据,缺推流间隔,crates/rustcta-exchange-gateway/src/adapters/p2b/endpoint_mapping.yaml,docs/交易所网关/适配器/p2b_adapter.md,运行,运行,离线,-,不支持,离线,-,离线,不支持,不支持,不支持,不支持,-,运行,运行,运行
pacifica,perpetual,不支持,声明,,spec_only,spec_only,"bbo,book,candle,mark_candle,prices,trades","account_order_updates,account_positions,account_trades","bbo,book",100ms,"1,10,100,1000",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/pacifica/endpoint_mapping.yaml,docs/交易所网关/适配器/pacifica_adapter.md,运行,运行,离线,离线,不支持,离线,-,离线,-,-,-,-,离线,-,离线,-
paradex,"option,perpetual",项目未实现,声明,项目未实现 spot_product,native,native,"bbo,markets_summary,order_book,order_book.{market_symbol}.{feed_type}@15@{refresh_rate},trades","user.balance,user.orders,user.positions,user.trades","bbo,order_book,order_book.{market_symbol}.{feed_type}@15@{refresh_rate}","50ms,100ms","1,15",50,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/paradex/endpoint_mapping.yaml,docs/交易所网关/适配器/paradex_adapter.md,原生,原生,离线,原生,不支持,离线,-,离线,-,-,-,-,-,-,原生,-
paymium,spot,声明,不支持,,native,rest_fallback,"bids_asks,orderbook:bids_asks,orderbook:stream,stream,subscribe_public_stream","bids_asks,stream,subscribe_public_stream","orderbook:bids_asks,orderbook:stream",,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/paymium/endpoint_mapping.yaml,docs/交易所网关/适配器/paymium_adapter.md,运行,运行,离线,-,不支持,离线,-,离线,-,-,-,-,-,运行,运行,运行
phemex,"perpetual,spot",声明,声明,,native,native,"kline.subscribe,kline_p.subscribe,orderbook.subscribe,orderbook_p.subscribe,perp_market24h_pack_p.subscribe,spot_market24h.subscribe,trade.subscribe,trade_p.subscribe","aop_p.subscribe,ras_p.subscribe,wo.subscribe","orderbook.subscribe,orderbook_p.subscribe","60s,20ms,100ms,120ms","0,1,5,10,30",20,是,低延迟盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/phemex/endpoint_mapping.yaml,docs/交易所网关/适配器/phemex_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,-,-,运行,运行,运行,-,运行,运行
poloniex,"perpetual,spot",声明,声明,,native,native,"book_lv2,candles_minute,subscribe_public_order_book,ticker,tickers,trades","account,balances,book_lv2,orders,positions,subscribe_public_order_book","book_lv2,subscribe_public_order_book",,20,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/poloniex/endpoint_mapping.yaml,docs/交易所网关/适配器/poloniex_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,运行,-,运行,运行,运行,运行,运行,运行
tapbit,"perpetual,spot",声明,声明,,parser_only,unsupported,"spot/orderBook,spot/orderBook.{instrument_id}.[depth],spot/ticker,usdt/orderBook,usdt/orderBook.{instrument_id}.[depth],usdt/ticker",,"spot/orderBook,spot/orderBook.{instrument_id}.[depth],usdt/orderBook,usdt/orderBook.{instrument_id}.[depth]","5s,5000ms","5,10,50,100,200",5000,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/tapbit/endpoint_mapping.yaml,docs/交易所网关/适配器/tapbit_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,-,-,运行,运行,-,运行,运行,运行
tokocrypto,spot,声明,不支持,,spec_only,spec_only,"diff_depth_1000ms,diff_depth_100ms,order_book,partial_depth_10,partial_depth_10_100ms,partial_depth_20,partial_depth_20_100ms,partial_depth_5,partial_depth_5_100ms,{symbol}@depth,{symbol}@depth10,{symbol}@depth10@100ms,{symbol}@depth20,{symbol}@depth20@100ms,{symbol}@depth5,{symbol}@depth5@100ms,{symbol}@depth@100ms,{symbol}@kline_{interval},{symbol}@ticker,{symbol}@trade",,"diff_depth_1000ms,diff_depth_100ms,order_book,partial_depth_10,partial_depth_10_100ms,partial_depth_20,partial_depth_20_100ms,partial_depth_5,partial_depth_5_100ms,{symbol}@depth,{symbol}@depth10,{symbol}@depth10@100ms,{symbol}@depth20,{symbol}@depth20@100ms,{symbol}@depth5,{symbol}@depth5@100ms,{symbol}@depth@100ms","100ms,1000ms","5,10,20",100,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/tokocrypto/endpoint_mapping.yaml,docs/交易所网关/适配器/tokocrypto_adapter.md,运行,运行,离线,-,不支持,离线,-,离线,-,-,-,-,-,运行,运行,运行
toobit,"perpetual,spot",声明,声明,,native,native,"depth,wholeBookTicker",,"depth,wholeBookTicker","1s,300ms","1,300",300,是,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/toobit/endpoint_mapping.yaml,docs/交易所网关/适配器/toobit_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,-,-,运行,运行,-,-,-,运行
upbit,spot,声明,不支持,,native,native,orderbook,,orderbook,,"1,5,15,30",,是,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/upbit/endpoint_mapping.yaml,docs/交易所网关/适配器/upbit_adapter.md,运行,运行,运行,不支持,运行,运行,-,运行,不支持,-,不支持,不支持,不支持,运行,运行,运行
wavesexchange,spot,声明,不支持,,spec_only,unsupported,"obs order book depth10 100ms subscribe,obu order book depth10 unsubscribe",,"obs order book depth10 100ms subscribe,obu order book depth10 unsubscribe",100ms,10,100,否,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/wavesexchange/endpoint_mapping.yaml,docs/交易所网关/适配器/wavesexchange_adapter.md,运行,运行,离线,不支持,不支持,离线,-,离线,不支持,不支持,不支持,不支持,离线,离线,离线,离线
weex,"perpetual,spot",声明,声明,,native,native,"{symbol}@depth15,{symbol}@depth200",,"{symbol}@depth15,{symbol}@depth200",,"2,15,200",,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/weex/endpoint_mapping.yaml,docs/交易所网关/适配器/weex_adapter.md,运行,运行,运行,运行,运行,运行,不支持,运行,不支持,不支持,-,-,-,运行,运行,运行
whitebit,"perpetual,spot",声明,声明,,native,native,"candles_subscribe,depth_subscribe,ticker_subscribe,trades_subscribe","balanceMargin_subscribe,balanceSpot_subscribe,deals_subscribe,ordersPending_subscribe,positionsMargin_subscribe",depth_subscribe,100ms,"1,100",100,是,百毫秒盘口候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/whitebit/endpoint_mapping.yaml,docs/交易所网关/适配器/whitebit_adapter.md,运行,运行,运行,运行,运行,运行,运行,运行,不支持,-,运行,运行,运行,运行,运行,运行
woo,"perpetual,spot",声明,声明,,native,native,"1,10,100,1000,200,absolute_quantity_level_delta,bbo,bbo@{symbol},best_bid_offer_snapshot,depth,full_depth_snapshot,none,orderbook@{symbol}@100,orderbook_snapshot,orderbook_update,orderbookupdate@{symbol}@100,perpetual,public_orderbook_bbo,public_orderbook_delta,public_orderbook_snapshot,seq,sequence,spot","bbo@{symbol},orderbook@{symbol}@100,orderbookupdate@{symbol}@100,public_orderbook_bbo,public_orderbook_delta,public_orderbook_snapshot","bbo,bbo@{symbol},depth,full_depth_snapshot,orderbook@{symbol}@100,orderbook_snapshot,orderbook_update,orderbookupdate@{symbol}@100,public_orderbook_bbo,public_orderbook_delta,public_orderbook_snapshot","10ms,200ms,1000ms","1,10,100",10,是,极速L1候选,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/woo/endpoint_mapping.yaml,docs/交易所网关/适配器/woo_adapter.md,运行,运行,运行,运行,运行,运行,-,运行,-,-,运行,运行,-,-,-,运行
woofipro,perpetual,不支持,声明,,spec_only,unsupported,"public_builder_ticker,public_orderbook_delta,woofi_pro${symbol}@ticker,{symbol}@orderbookupdate","executionreport/account,private_user_events,public_builder_ticker,public_orderbook_delta,woofi_pro${symbol}@ticker,{symbol}@orderbookupdate","public_orderbook_delta,{symbol}@orderbookupdate",200ms,,200,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/woofipro/endpoint_mapping.yaml,docs/交易所网关/适配器/woofipro_adapter.md,运行,运行,运行,运行,不支持,运行,-,运行,运行,-,运行,运行,运行,运行,运行,运行
xt,"perpetual,spot",声明,声明,,native,parser_only,"futures depth_update depth500 1000ms,spot depth_update depth500 1000ms",,"futures depth_update depth500 1000ms,spot depth_update depth500 1000ms",1000ms,500,1000,否,慢速盘口/需评估,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/xt/endpoint_mapping.yaml,docs/交易所网关/适配器/xt_adapter.md,运行,运行,运行,运行,运行,运行,映射,运行,运行,不支持,运行,运行,运行,运行,运行,运行
yobit,spot,声明,不支持,,unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/yobit/endpoint_mapping.yaml,docs/交易所网关/适配器/yobit_adapter.md,运行,运行,离线,-,离线,离线,-,离线,-,-,-,-,-,运行,运行,运行
zaif,spot,声明,不支持,,native,unsupported,"?currency_pair={currency_pair},stream?currency_pair={currency_pair} order book",,stream?currency_pair={currency_pair} order book,,,,否,缺推流间隔证据,已记录核心细项,crates/rustcta-exchange-gateway/src/adapters/zaif/endpoint_mapping.yaml,docs/交易所网关/适配器/zaif_adapter.md,运行,运行,离线,-,不支持,离线,-,离线,不支持,-,-,-,-,-,运行,运行
zebpay,spot,声明,项目未实现,"项目未实现 contract_product,futures_product",unsupported,unsupported,,,,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/zebpay/endpoint_mapping.yaml,docs/交易所网关/适配器/zebpay_adapter.md,运行,运行,离线,-,离线,离线,-,离线,-,-,-,-,离线,运行,运行,运行
zeta_markets,perpetual,不支持,声明,,unsupported,unsupported,,"private_user_events,public_orderbook_delta,solana_account_subscription,solana_margin_account",,,,,否,公共WS未接入/未声明,公共WS不支持/未接入,crates/rustcta-exchange-gateway/src/adapters/zeta_markets/endpoint_mapping.yaml,docs/交易所网关/适配器/zeta_markets_adapter.md,运行,运行,离线,离线,不支持,不支持,-,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
